,Equitable Share,Total Allocations,Allocation_x000D_Ratio,Level-5 Hospitals,Compensation for_x000D_user fees foregone,Rehabiliation of_x000D_Village Polytechnics,Road Maintenance_x000D_Levy Fund,Leasing of Medical_x000D_Equipment,Supplement for_x000D_construction of county_x000D_headquarters,Loans & Grants,Total Allocations,Per capita_x000D_allocation (Kshs),Equitable Share
County,FY 2018/19,FY 2019/20,,,,,,,,,,,
Nyeri,"4,879,392,000","6,184,636,952",1.6,"420,464,185","13,701,379","28,795,000","143,745,000","131,914,894",-,"539,342,102","6,237,962,559","8,994","4,960,000,000"
Samburu,"4,299,964,200","5,116,193,687",1.41,-,"5,235,578","20,905,000","126,675,281","131,914,894",-,"535,672,418","5,191,403,170","23,181","4,371,000,000"
Siaya,"5,855,270,400","6,699,573,187",1.92,-,"18,194,808","38,500,000","172,494,000","131,914,894",-,"350,315,755","6,663,419,456","7,911","5,952,000,000"
Taita Taveta,"3,934,009,800","5,116,215,328",1.29,-,"5,296,305","49,675,000","115,894,406","131,914,894",-,"731,815,201","5,033,595,806","17,683","3,999,000,000"
Tana River,"5,397,827,400","6,402,983,240",1.77,-,"5,682,537","24,490,000","159,017,906","131,914,894","121,000,000","389,533,835","6,318,639,171","26,319","5,487,000,000"
Tharaka Nithi,"3,537,559,200","4,329,735,296",1.16,-,"8,218,119","40,090,000","104,215,125","131,914,894","121,000,000","305,117,021","4,306,555,158","11,788","3,596,000,000"
Trans Nzoia,"5,458,819,800","6,627,548,529",1.79,-,"21,304,915","53,710,000","160,814,719","131,914,894",-,"800,643,691","6,717,388,218","8,204","5,549,000,000"
Turkana,"10,460,196,600","11,501,934,005",3.43,-,"25,634,941","25,285,000","308,153,344","131,914,894",-,"822,967,592","11,946,955,770","13,967","10,633,000,000"
Uasin Gishu,"5,763,781,800","7,254,209,346",1.89,-,"20,813,065","33,250,000","169,798,781","131,914,894",-,"1,035,749,916","7,250,526,655","8,109","5,859,000,000"
Vihiga,"4,330,460,400","5,376,604,500",1.42,-,"12,657,201","55,000,000","127,573,688","131,914,894",-,"767,353,103","5,496,498,885","9,910","4,402,000,000"
Wajir,"8,233,974,000","10,305,710,437",2.7,-,"15,784,997","21,295,000","242,569,688","131,914,894",-,"713,458,149","9,495,022,726","14,344","8,370,000,000"
West Pokot,"4,787,903,400","5,721,212,183",1.57,-,"12,128,484","28,885,000","141,049,781","131,914,894",-,"361,783,864","5,542,762,022","10,811","4,867,000,000"
GRAND TOTAL,"304,962,000,000","367,443,384,193",100,"4,455,780,000","900,000,000","2,000,000,000","8,984,062,500","6,200,000,000","605,000,000","38,538,293,666","371,683,136,166","12,000","310,000,000,000"
